,ProductID,X,Y,Stock,ProductName,Category,Gender,ProductLine,Weight,Size,PackSize,ProductType
235,2503,4,3,165.0,XXL-BX46KG,Boxers,Men's Briefs,Underwear,86,XXL,Single Unit,BX46KG
236,1992,4,4,75.0,L-BX46F,Boxers,Men's Briefs,Underwear,75,L,Single Unit,BX46F
237,3008,4,5,12.0,L-BX9AT3KA,Boxers,Men's Briefs,Underwear,85,L,Single Unit,BX9AT3KA
238,3009,4,6,10.0,XL-BX9AT3KA,Boxers,Men's Briefs,Underwear,95,XL,Single Unit,BX9AT3KA
239,3010,4,7,20.0,S-BX93CA,Boxers,Men's Briefs,Underwear,70,S,Single Unit,BX93CA
240,3011,4,8,11.0,M-BX93CA,Boxers,Men's Briefs,Underwear,75,M,Single Unit,BX93CA
241,3012,4,9,13.0,L-BX93CA,Boxers,Men's Briefs,Underwear,85,L,Single Unit,BX93CA
242,3013,4,10,21.0,XL-BX93CA,Boxers,Men's Briefs,Underwear,90,XL,Single Unit,BX93CA
243,3348,4,11,30.0,XL-BX93SB,Boxers,Men's Briefs,Underwear,95,XL,Single Unit,BX93SB
244,3351,4,12,23.0,XXL-BX46D,Boxers,Men's Briefs,Underwear,90,XXL,Single Unit,BX46D
245,2526,4,13,5.0,S-BX46SG,Boxers,Men's Briefs,Underwear,57,S,Single Unit,BX46SG
246,2527,4,14,51.0,M-BX46G,Boxers,Men's Briefs,Underwear,63,M,Single Unit,BX46G
247,2531,4,15,1.0,M-BX46KG,Boxers,Men's Briefs,Underwear,79,M,Single Unit,BX46KG
248,2532,4,16,1.0,XL-BX46CG,Boxers,Men's Briefs,Underwear,80,XL,Single Unit,BX46CG
249,2533,4,17,80.0,XXL-BX46CG,Boxers,Men's Briefs,Underwear,86,XXL,Single Unit,BX46CG
